"product_key","product_type","product_name","product_type_name"
88,2,"""The Gu"" red shirt XML tag t-shirt (White) 7XL","Clothing"
89,2,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS","Clothing"
90,6,"""The Gu"" red shirt XML tag t-shirt (Black) XXS","Computing Novelties"
91,4,"""The Gu"" red shirt XML tag t-shirt (Black) XS","T-Shirts"
92,2,"""The Gu"" red shirt XML tag t-shirt (Black) S","Clothing"
93,2,"""The Gu"" red shirt XML tag t-shirt (Black) M","Clothing"
94,2,"""The Gu"" red shirt XML tag t-shirt (Black) L","Clothing"
95,4,"""The Gu"" red shirt XML tag t-shirt (Black) XL","T-Shirts"
96,2,"""The Gu"" red shirt XML tag t-shirt (Black) XXL","Clothing"
97,4,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL","T-Shirts"
98,2,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL","Clothing"
99,2,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL","Clothing"
100,4,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL","T-Shirts"
101,6,"""The Gu"" red shirt XML tag t-shirt (Black) 7XL","Computing Novelties"
102,2,"Alien officer hoodie (Black) XL","Clothing"
103,2,"Alien officer hoodie (Black) XXL","Clothing"
104,2,"Alien officer hoodie (Black) 3XL","Clothing"
105,2,"Alien officer hoodie (Black) 4XL","Clothing"
106,2,"Alien officer hoodie (Black) 5XL","Clothing"
107,2,"Superhero action jacket (Blue) 3XS","Clothing"
108,2,"Superhero action jacket (Blue) XXS","Clothing"
109,2,"Superhero action jacket (Blue) XS","Clothing"
110,2,"Superhero action jacket (Blue) S","Clothing"
111,2,"Superhero action jacket (Blue) M","Clothing"
112,2,"Superhero action jacket (Blue) L","Clothing"
113,2,"Superhero action jacket (Blue) XL","Clothing"
114,2,"Superhero action jacket (Blue) XXL","Clothing"
115,2,"Superhero action jacket (Blue) 3XL","Clothing"
116,2,"Superhero action jacket (Blue) 4XL","Clothing"
117,2,"Superhero action jacket (Blue) 5XL","Clothing"
118,2,"Dinosaur battery-powered slippers (Green) S","Clothing"
119,8,"Dinosaur battery-powered slippers (Green) M","Furry Footwear"
120,2,"Dinosaur battery-powered slippers (Green) L","Clothing"
121,2,"Dinosaur battery-powered slippers (Green) XL","Clothing"
122,2,"Ogre battery-powered slippers (Green) S","Clothing"
123,8,"Ogre battery-powered slippers (Green) M","Furry Footwear"
124,8,"Ogre battery-powered slippers (Green) L","Furry Footwear"
125,8,"Ogre battery-powered slippers (Green) XL","Furry Footwear"
126,2,"Plush shark slippers (Gray) S","Clothing"
127,2,"Plush shark slippers (Gray) M","Clothing"
128,8,"Plush shark slippers (Gray) L","Furry Footwear"
129,8,"Plush shark slippers (Gray) XL","Furry Footwear"
130,8,"Furry gorilla with big eyes slippers (Black) S","Furry Footwear"
131,8,"Furry gorilla with big eyes slippers (Black) M","Furry Footwear"
132,2,"Furry gorilla with big eyes slippers (Black) L","Clothing"
133,8,"Furry gorilla with big eyes slippers (Black) XL","Furry Footwear"
134,8,"Animal with big feet slippers (Brown) S","Furry Footwear"
135,2,"Animal with big feet slippers (Brown) M","Clothing"
136,2,"Animal with big feet slippers (Brown) L","Clothing"
137,2,"Animal with big feet slippers (Brown) XL","Clothing"
138,2,"Furry animal socks (Pink) S","Clothing"
139,2,"Furry animal socks (Pink) M","Clothing"
140,8,"Furry animal socks (Pink) L","Furry Footwear"
141,8,"Furry animal socks (Pink) XL","Furry Footwear"
142,2,"Halloween zombie mask (Light Brown) S","Clothing"
143,2,"Halloween zombie mask (Light Brown) M","Clothing"
144,2,"Halloween zombie mask (Light Brown) L","Clothing"
145,1,"Halloween zombie mask (Light Brown) XL","Novelty Items"
146,2,"Halloween skull mask (Gray) S","Clothing"
147,1,"Halloween skull mask (Gray) M","Novelty Items"
148,1,"Halloween skull mask (Gray) L","Novelty Items"
149,1,"Halloween skull mask (Gray) XL","Novelty Items"
150,9,"Pack of 12 action figures (variety)","Toys"
151,9,"Pack of 12 action figures (male)","Toys"
152,9,"Pack of 12 action figures (female)","Toys"
153,10,"Small sized bubblewrap roll 10m","Packaging Materials"
154,10,"Medium sized bubblewrap roll 20m","Packaging Materials"
155,10,"Large sized bubblewrap roll 50m","Packaging Materials"
156,10,"10 mm Double sided bubble wrap 10m","Packaging Materials"
157,10,"10 mm Double sided bubble wrap 20m","Packaging Materials"
158,10,"10 mm Double sided bubble wrap 50m","Packaging Materials"
159,10,"20 mm Double sided bubble wrap 10m","Packaging Materials"
160,10,"20 mm Double sided bubble wrap 20m","Packaging Materials"
161,10,"20 mm Double sided bubble wrap 50m","Packaging Materials"
162,10,"32 mm Double sided bubble wrap 10m","Packaging Materials"
163,10,"32 mm Double sided bubble wrap 20m","Packaging Materials"
164,10,"32 mm Double sided bubble wrap 50m","Packaging Materials"
165,10,"10 mm Anti static bubble wrap (Blue) 10m","Packaging Materials"
166,10,"10 mm Anti static bubble wrap (Blue) 20m","Packaging Materials"
167,10,"10 mm Anti static bubble wrap (Blue) 50m","Packaging Materials"
168,10,"20 mm Anti static bubble wrap (Blue) 10m","Packaging Materials"
169,10,"20 mm Anti static bubble wrap (Blue) 20m","Packaging Materials"
170,10,"20 mm Anti static bubble wrap (Blue) 50m","Packaging Materials"
171,10,"32 mm Anti static bubble wrap (Blue) 10m","Packaging Materials"
172,10,"32 mm Anti static bubble wrap (Blue) 20m","Packaging Materials"
173,10,"32 mm Anti static bubble wrap (Blue) 50m","Packaging Materials"
174,10,"Bubblewrap dispenser (Black) 1.5m","Packaging Materials"
175,10,"Bubblewrap dispenser (Blue) 1.5m","Packaging Materials"
176,10,"Bubblewrap dispenser (Red) 1.5m","Packaging Materials"
177,10,"Shipping carton (Brown) 413x285x187mm","Packaging Materials"
178,10,"Shipping carton (Brown) 500x310x310mm","Packaging Materials"
179,10,"Shipping carton (Brown) 229x229x229mm","Packaging Materials"
180,10,"Shipping carton (Brown) 279x254x217mm","Packaging Materials"
181,10,"Shipping carton (Brown) 356x229x229mm","Packaging Materials"
182,10,"Shipping carton (Brown) 457x279x279mm","Packaging Materials"
183,10,"Shipping carton (Brown) 480x270x320mm","Packaging Materials"
184,10,"Shipping carton (Brown) 305x305x305mm","Packaging Materials"
185,10,"Shipping carton (Brown) 356x356x279mm","Packaging Materials"
186,10,"Shipping carton (Brown) 457x457x457mm","Packaging Materials"
187,10,"Express post box 5kg (White) 350x280x130mm","Packaging Materials"
188,10,"3 kg Courier post bag (White) 300x190x95mm","Packaging Materials"
189,10,"Clear packaging tape 48mmx75m","Packaging Materials"
190,10,"Clear packaging tape 48mmx100m","Packaging Materials"
191,10,"Black and orange fragile despatch tape 48mmx75m","Packaging Materials"
192,10,"Black and orange fragile despatch tape 48mmx100m","Packaging Materials"
193,10,"Black and orange glass with care despatch tape 48mmx75m","Packaging Materials"
194,10,"Black and orange glass with care despatch tape  48mmx100m","Packaging Materials"
195,10,"Black and orange handle with care despatch tape  48mmx75m","Packaging Materials"
196,10,"Black and orange handle with care despatch tape  48mmx100m","Packaging Materials"
197,10,"Black and orange this way up despatch tape 48mmx75m","Packaging Materials"
198,10,"Black and orange this way up despatch tape  48mmx100m","Packaging Materials"
199,10,"Black and yellow heavy despatch tape  48mmx75m","Packaging Materials"
200,10,"Black and yellow heavy despatch tape 48mmx100m","Packaging Materials"
201,10,"Red and white urgent despatch tape 48mmx75m","Packaging Materials"
202,10,"Red and white urgent  heavy despatch tape  48mmx100m","Packaging Materials"
203,10,"Tape dispenser (Black)","Packaging Materials"
204,10,"Tape dispenser (Red)","Packaging Materials"
205,10,"Tape dispenser (Blue)","Packaging Materials"
206,10,"Permanent marker black 5mm nib (Black) 5mm","Packaging Materials"
207,10,"Permanent marker blue 5mm nib (Blue) 5mm","Packaging Materials"
208,10,"Permanent marker red 5mm nib (Red) 5mm","Packaging Materials"
209,10,"Packing knife with metal insert blade (Yellow) 9mm","Packaging Materials"
210,10,"Packing knife with metal insert blade (Yellow) 18mm","Packaging Materials"
211,10,"Small 9mm replacement blades 9mm","Packaging Materials"
212,10,"Large  replacement blades 18mm","Packaging Materials"
213,10,"Air cushion film 200mmx100mm 325m","Packaging Materials"
214,10,"Air cushion film 200mmx200mm 325m","Packaging Materials"
215,10,"Air cushion machine (Blue)","Packaging Materials"
216,10,"Void fill 100 L bag (White) 100L","Packaging Materials"
217,10,"Void fill 200 L bag (White) 200L","Packaging Materials"
218,10,"Void fill 300 L bag (White) 300L","Packaging Materials"
219,10,"Void fill 400 L bag (White) 400L","Packaging Materials"
220,1,"Novelty chilli chocolates 250g","Novelty Items"
221,1,"Novelty chilli chocolates 500g","Novelty Items"
222,1,"Chocolate beetles 250g","Novelty Items"
223,1,"Chocolate echidnas 250g","Novelty Items"
224,1,"Chocolate frogs 250g","Novelty Items"
225,1,"Chocolate sharks 250g","Novelty Items"
226,1,"White chocolate snow balls 250g","Novelty Items"
227,1,"White chocolate moon rocks 250g","Novelty Items"
